Instance,KK,RR Standard,RR Prepartitioned,HC Standard,HC Prepartitioned,SA Standard,SA Prepartitioned
1,0,72,0,1703,0,116,0
2,0,66,0,214,0,11,0
3,1,81,1,128,1,44,1
4,2,246,0,380,0,120,0
5,1,149,1,476,1,189,1
6,1,52,1,48,1,152,1
7,0,60,0,958,0,246,0
8,0,496,0,339,0,63,0
9,0,179,0,456,0,26,0
10,0,1,0,586,0,60,0
11,1,279,1,355,1,43,1
12,1,432,1,329,1,423,1
13,0,54,0,240,0,116,0
14,0,115,0,831,0,37,0
15,1,60,1,97,1,48,1
16,1,253,1,741,1,131,1
17,0,113,0,1783,0,206,0
18,0,456,0,688,0,114,0
19,1,200,1,48,1,321,1
20,0,10,0,337,0,109,0
21,1,199,1,158,1,45,1
22,1,287,1,230,1,59,1
23,1,4,1,288,1,18,1
24,1,644,1,128,1,86,1
25,0,584,0,54,0,441,0
26,1,102,1,464,1,142,1
27,0,452,0,577,0,126,0
28,1,214,1,391,1,9,1
29,0,268,0,235,0,513,0
30,0,482,0,307,0,733,0
31,0,115,0,167,0,253,0
32,0,249,0,961,0,50,0
33,1,112,1,150,1,32,1
34,0,145,0,43,0,357,0
35,1,353,1,74,1,133,1
36,1,84,1,394,1,17,1
37,0,53,0,243,0,15,0
38,0,104,0,398,0,54,0
39,1,610,1,343,1,149,1
40,0,106,0,171,0,45,0
41,1,247,1,1192,1,150,1
42,0,55,0,670,0,47,0
43,1,75,1,194,1,47,1
44,0,73,0,1046,0,120,0
45,0,107,0,132,0,4,0
46,1,111,1,63,1,67,1
47,2,239,0,0,0,3,0
48,0,212,0,602,0,105,0
49,0,8,0,519,0,90,0
50,1,149,1,360,1,399,1
