Instance,KK,RR Standard,RR Prepartitioned,HC Standard,HC Prepartitioned,SA Standard,SA Prepartitioned
1,72,207459,1273202,45990,1073934,53192,1175147
2,47,182575,1284943,45910,1224783,47727,1123660
3,48,181868,1272735,45683,1216651,47999,1091304
4,49,182082,1274458,45711,1059372,48242,1154274
5,51,182101,1275292,45735,1241923,47667,1152190
6,48,181506,1275888,45657,1092913,47791,1203395
7,48,187152,1278483,45967,1078603,47595,1147798
8,48,181146,1275153,45737,1181159,47546,1135305
9,48,181501,1276100,45989,1096349,47805,1200486
10,48,181987,1275494,45667,1175337,47770,1109861
11,47,181064,1275122,45932,1210018,48473,1157587
12,47,182597,1273588,46106,1134372,47851,1161169
13,48,181745,1283465,45728,1272867,48690,1133002
14,47,186036,1301525,47051,1083805,50193,1236754
15,48,185139,1299450,46158,1099119,50750,1135370
16,52,185376,1297232,47118,1114073,49284,1161189
17,48,181987,1283698,45686,1109962,47908,1130799
18,48,182638,1278392,45894,1009977,47714,1134772
19,48,180977,1274427,45725,1108253,47589,1169857
20,48,181493,1282326,46161,1183580,47653,1117930
21,48,182676,1274422,45754,1022368,47376,1103230
22,49,181085,1278511,46605,1175720,47376,1105142
23,48,181427,1276714,45687,1143818,48436,1132799
24,48,181497,1282320,45822,1270914,47905,1190162
25,47,181788,1278689,46068,1191519,47978,1165281
26,48,183092,1284047,46279,1221663,53026,1156173
27,49,181572,1281450,45917,1217702,47765,1110315
28,49,184505,1272678,45719,1204364,48448,1104788
29,48,181727,1281539,45723,1072741,47987,1110051
30,50,189708,1351764,47929,1120237,47574,1168294
31,53,184183,1375596,51950,1210336,48139,1189524
32,48,181443,1301196,47515,1239326,48307,1163563
33,48,181550,1297818,46095,1169221,48476,1137776
34,47,185470,1296786,46750,1098616,49125,1285792
35,48,185929,1289004,47720,1096212,48760,1172518
36,48,185633,1315925,45979,1196945,49269,1087633
37,47,181053,1287850,45679,1127593,47678,1099398
38,47,181094,1277178,45922,1050574,48374,1129001
39,48,182497,1280119,45923,1196192,47806,1146995
40,48,181097,1280007,45827,1038162,48157,1179322
41,49,181263,1286073,45687,1092261,47623,1104024
42,49,182291,1273194,45703,1144514,47891,1131207
43,48,181154,1272895,46097,1145775,47570,1110028
44,48,183714,1301451,45732,1147125,47647,1166407
45,49,181112,1274043,45706,1126010,47847,1188198
46,48,183482,1316515,48171,1067263,47975,1157138
47,48,182705,1276823,45760,1097784,47657,1105196
48,47,181455,1275197,45794,1070322,47641,1149719
49,48,181080,1275706,45640,1097729,47794,1193004
50,47,182398,1306099,48348,1089515,47833,1100744
